Energy	Plot 1
4216.5	6.673e+11
4217	6.704e+11
4217.5	6.732e+11
4218	6.76e+11
4218.5	6.785e+11
4219	6.809e+11
4219.5	6.832e+11
4220	6.852e+11
4220.5	6.87e+11
4221	6.887e+11
4221.5	6.902e+11
4222	6.915e+11
4222.5	6.927e+11
4223	6.937e+11
4223.5	6.944e+11
4224	6.95e+11
4224.5	6.955e+11
4225	6.958e+11
4225.5	6.96e+11
4226	6.961e+11
4226.5	6.959e+11
4227	6.957e+11
4227.5	6.954e+11
4228	6.95e+11
4228.5	6.946e+11
4229	6.941e+11
4229.5	6.934e+11
4230	6.928e+11
4230.5	6.921e+11
4231	6.915e+11
4231.5	6.908e+11
4232	6.901e+11
4232.5	6.894e+11
4233	6.888e+11
4233.5	6.882e+11
4234	6.876e+11
4234.5	6.872e+11
4235	6.867e+11
4235.5	6.863e+11
4236	6.86e+11
4236.5	6.858e+11
4237	6.858e+11
4237.5	6.858e+11
4238	6.858e+11
4238.5	6.86e+11
4239	6.863e+11
4239.5	6.867e+11
4240	6.873e+11
4240.5	6.879e+11
4241	6.886e+11
4241.5	6.894e+11
4242	6.903e+11
4242.5	6.913e+11
4243	6.925e+11
4243.5	6.937e+11
4244	6.95e+11
4244.5	6.964e+11
4245	6.979e+11
4245.5	6.994e+11
4246	7.011e+11
4246.5	7.028e+11
4247	7.046e+11
4247.5	7.064e+11
4248	7.083e+11
4248.5	7.102e+11
4249	7.123e+11
4249.5	7.143e+11
4250	7.163e+11
4250.5	7.184e+11
4251	7.205e+11
4251.5	7.227e+11
4252	7.249e+11
4252.5	7.271e+11
4253	7.293e+11
4253.5	7.315e+11
4254	7.337e+11
4254.5	7.36e+11
4255	7.383e+11
4255.5	7.405e+11
4256	7.427e+11
4256.5	7.449e+11
4257	7.472e+11
4257.5	7.495e+11
4258	7.518e+11
4258.5	7.54e+11
4259	7.562e+11
4259.5	7.585e+11
4260	7.608e+11
4260.5	7.631e+11
4261	7.654e+11
4261.5	7.677e+11
4262	7.7e+11
4262.5	7.723e+11
4263	7.747e+11
4263.5	7.771e+11
4264	7.795e+11
4264.5	7.819e+11
